,Unnamed: 0,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,customer_lifetime_value,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,date,day,month,year,week
0,0.0,Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Medsize,2763.519279,2011-02-24,56274.0,69.0,32.0,5.0,0.0,1.0,384.811147,2011-02-24,24,2,2011,8
1,1.0,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer3,Agent,Four-Door Car,Medsize,6979.535903,2011-01-31,0.0,94.0,13.0,42.0,0.0,8.0,1131.464935,2011-01-31,31,1,2011,5
2,2.0,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,Offer1,Agent,Two-Door Car,Medsize,12887.43165,2011-02-19,48767.0,108.0,18.0,38.0,0.0,2.0,566.472247,2011-02-19,19,2,2011,7
3,3.0,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate,Offer1,Call Center,SUV,Medsize,7645.861827,2011-01-20,0.0,106.0,18.0,65.0,0.0,7.0,529.881344,2011-01-20,20,1,2011,3
4,4.0,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,Offer1,Agent,Four-Door Car,Medsize,2813.692575,2011-02-03,43836.0,73.0,12.0,44.0,0.0,1.0,138.130879,2011-02-03,3,2,2011,5
5,5.0,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal,Offer2,Web,Two-Door Car,Medsize,8256.2978,2011-01-25,62902.0,69.0,14.0,94.0,0.0,2.0,159.383042,2011-01-25,25,1,2011,4
6,6.0,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate,Offer1,Agent,Four-Door Car,Medsize,5380.898636,2011-02-24,55350.0,67.0,0.0,13.0,0.0,9.0,321.6,2011-02-24,24,2,2011,8
7,7.0,Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate,Offer1,Agent,Four-Door Car,Medsize,7216.100311,2011-01-18,0.0,101.0,0.0,68.0,0.0,4.0,363.02968,2011-01-18,18,1,2011,3
8,9.0,Oregon,No,Extended,College,Employed,F,Urban,Married,Special,Offer2,Branch,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
9,10.0,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,7388.178085,2011-02-17,28812.0,93.0,17.0,7.0,0.0,8.0,425.527834,2011-02-17,17,2,2011,7
10,11.0,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal,Offer2,Agent,SUV,Medsize,4738.992022,2011-02-21,0.0,67.0,23.0,5.0,0.0,3.0,482.4,2011-02-21,21,2,2011,8
11,12.0,California,No,Premium,Master,Employed,M,Urban,Married,Corporate,Offer2,Agent,Four-Door Car,Medsize,8197.197078,2011-01-06,0.0,110.0,27.0,87.0,0.0,3.0,528.0,2011-01-06,6,1,2011,1
12,13.0,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,Offer2,Branch,SUV,Medsize,8798.797003,2011-02-06,77026.0,110.0,9.0,82.0,2.0,3.0,472.029737,2011-02-06,6,2,2011,5
13,14.0,California,No,Basic,College,Employed,M,Urban,Single,Corporate,Offer4,Call Center,Four-Door Car,Medsize,8819.018934,2011-01-10,99845.0,110.0,23.0,25.0,1.0,8.0,528.0,2011-01-10,10,1,2011,2
14,15.0,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,5384.431665,2011-01-18,83689.0,70.0,21.0,10.0,2.0,8.0,307.139132,2011-01-18,18,1,2011,3
15,16.0,Nevada,No,Basic,High School or Below,Others,M,Suburban,Married,Personal,Offer2,Call Center,Two-Door Car,Medsize,7463.139377,2011-01-17,24599.0,64.0,12.0,50.0,1.0,2.0,42.920271,2011-01-17,17,1,2011,3
16,17.0,California,No,Basic,College,Others,M,Suburban,Married,Personal,Offer3,Call Center,SUV,Medsize,2566.867823,2011-02-06,25049.0,67.0,14.0,7.0,0.0,1.0,454.245098,2011-02-06,6,2,2011,5
17,18.0,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal,Offer2,Branch,Four-Door Car,Medsize,3945.241604,2011-01-05,28855.0,101.0,12.0,59.0,0.0,1.0,647.442031,2011-01-05,5,1,2011,1
18,19.0,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate,Offer1,Call Center,Four-Door Car,Small,5710.333115,2011-02-27,51148.0,72.0,9.0,1.0,0.0,7.0,308.981664,2011-02-27,27,2,2011,8
19,20.0,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,Offer1,Branch,Two-Door Car,Medsize,8162.617053,2011-01-14,66140.0,101.0,11.0,21.0,0.0,3.0,484.8,2011-01-14,14,1,2011,2
20,21.0,Washington,No,Extended,Bachelor,Others,F,Suburban,Divorced,Personal,Offer4,Call Center,Four-Door Car,Medsize,2872.051273,2011-02-19,57749.0,74.0,31.0,21.0,0.0,1.0,355.2,2011-02-19,19,2,2011,7
21,23.0,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,Offer1,Branch,Four-Door Car,Medsize,3041.791561,2011-01-21,13789.0,79.0,8.0,49.0,0.0,1.0,379.2,2011-01-21,21,1,2011,3
22,24.0,California,No,Basic,Bachelor,Others,F,Suburban,Married,Corporate,Offer2,Branch,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
23,25.0,Oregon,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer2,Call Center,Four-Door Car,Large,2450.190996,2011-02-24,0.0,73.0,4.0,44.0,3.0,1.0,554.376763,2011-02-24,24,2,2011,8
24,26.0,California,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal,Offer1,Agent,Four-Door Car,Small,2392.10789,2011-02-05,17870.0,61.0,30.0,91.0,0.0,1.0,439.2,2011-02-05,5,2,2011,5
25,27.0,Washington,No,Extended,Master,Others,F,Urban,Married,Corporate,Offer1,Branch,SUV,Medsize,5802.065978,2011-01-29,97541.0,72.0,22.0,1.0,0.0,3.0,389.185006,2011-01-29,29,1,2011,4
26,28.0,Arizona,No,Premium,College,Employed,F,Suburban,Single,Personal,Offer1,Call Center,Four-Door Car,Large,3946.372085,2011-02-28,0.0,111.0,15.0,47.0,0.0,1.0,799.2,2011-02-28,28,2,2011,9
27,29.0,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer2,Branch,Four-Door Car,Small,5346.916576,2011-02-12,10511.0,139.0,33.0,64.0,0.0,1.0,516.237951,2011-02-12,12,2,2011,6
28,30.0,Arizona,No,Basic,College,Employed,M,Suburban,Married,Personal,Offer4,Call Center,Four-Door Car,Small,12902.56014,2011-02-02,86584.0,111.0,33.0,54.0,2.0,2.0,532.8,2011-02-02,2,2,2011,5
29,32.0,California,No,Basic,Bachelor,Unemployed,M,Urban,Married,Personal,Offer1,Call Center,Four-Door Car,Medsize,3235.360468,2011-02-07,75690.0,80.0,17.0,44.0,1.0,1.0,384.0,2011-02-07,7,2,2011,6
30,33.0,Washington,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate,Offer1,Agent,Two-Door Car,Small,2454.58354,2011-02-28,23158.0,63.0,4.0,6.0,1.0,1.0,322.294043,2011-02-28,28,2,2011,9
31,34.0,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,Offer3,Web,Four-Door Car,Medsize,,,,,,,,,,,0,0,0,0
32,35.0,Arizona,No,Basic,High School or Below,Employed,F,Urban,Married,Personal,Offer1,Branch,Four-Door Car,Medsize,4715.321344,2011-01-25,0.0,65.0,19.0,56.0,0.0,3.0,308.15089,2011-01-25,25,1,2011,4
33,36.0,California,No,Premium,Bachelor,Employed,M,Suburban,Married,Personal,Offer1,Agent,Four-Door Car,Small,5018.885233,2011-01-18,54500.0,63.0,28.0,17.0,0.0,6.0,302.4,2011-01-18,18,1,2011,3
34,37.0,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Personal,Offer2,Web,Four-Door Car,Small,4932.916345,2011-02-13,37260.0,62.0,19.0,42.0,0.0,8.0,15.437681,2011-02-13,13,2,2011,6
35,38.0,Oregon,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal,Offer3,Agent,Two-Door Car,Small,5744.229745,2011-01-15,68987.0,71.0,11.0,40.0,0.0,6.0,204.475147,2011-01-15,15,1,2011,2
36,39.0,Arizona,No,Basic,High School or Below,Employed,M,Rural,Divorced,Personal,Offer1,Call Center,Four-Door Car,Medsize,13891.73567,2011-01-08,42305.0,117.0,10.0,62.0,0.0,2.0,561.6,2011-01-08,8,1,2011,1
37,40.0,Nevada,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Corporate,Offer3,Call Center,Two-Door Car,Medsize,7380.976717,2011-02-06,65706.0,91.0,19.0,86.0,0.0,8.0,436.8,2011-02-06,6,2,2011,5
38,41.0,Oregon,Yes,Basic,College,Employed,F,Rural,Single,Corporate,Offer2,Agent,Two-Door Car,Medsize,3090.034104,2011-01-25,0.0,90.0,7.0,79.0,0.0,1.0,648.0,2011-01-25,25,1,2011,4
39,42.0,California,Yes,Extended,Bachelor,Employed,F,Suburban,Married,Personal,Offer2,Agent,Four-Door Car,Small,2521.633095,2011-02-07,53243.0,66.0,4.0,15.0,2.0,1.0,157.397849,2011-02-07,7,2,2011,6
40,43.0,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal,Offer4,Agent,Sports Car,Medsize,2652.061785,2011-01-18,0.0,70.0,7.0,1.0,1.0,1.0,484.318536,2011-01-18,18,1,2011,3
41,44.0,Washington,No,Basic,College,Employed,M,Suburban,Married,Special,Offer2,Call Center,Four-Door Car,Large,2771.045031,2011-01-11,50071.0,71.0,3.0,32.0,0.0,1.0,18.918935,2011-01-11,11,1,2011,2
